
Pw B1 B2 B3 B4 B5 M1 M2 M3 M4 M5
1e-4 0.0632 5.068 9.158 13.197 17.220 0.999 3e-8 4e-9 7e-10 2e-10
1e-2 0.199 5.072 9.161 13.199 17.222 0.999 3e-6 3e-7 7e-8 3e-8
1e-1 0.618 5.117 9.189 13.221 17.240 0.999 2e-4 8e-5 8e-6 3e-6
0.25 0.946 5.187 9.234 13.256 17.269 0.998 1.6e-3 1.9e-4 4.9e-5 1.8e-5
0.50 1.272 5.295 9.306 13.318 17.312 0.993 5.5e-3 6.9e-4 1.8e-4 7.0e-5
0.75 1.485 5.392 9.373 13.365 17.360 0.987 0.01 1.4e-3 3.9e-4 1.5e-4
1.0 1.642 5.478 9.436 13.415 17.402 0.981  0.016 2.3e-3 6.0e-4 2.5e-4
2.0 2.000 5.744 9.645 13.590 17.555 0.954 0.036 6.4e-3 2.0e-3 8.2e-4
4.0 2.259 6.045 9.921 13.842 17.785 0.915 0.061 0.014 4.8e-3 2.2e-3
6.0 2.407 6.204 10.087 14.056 17.945 0.893 0.073 0.019 7.0e-3 3.3e-3
8.0 2.474 6.300 10.195 14.189 18.059 0.878 0.079 0.0228.6e-3 4.2e-3
10.0 2.517 6.365 10.271 14.200 18.144 0.869 0.083 0.024 9.7e-3 4.9e-3
25.0 2,626 6.542 10.491 14.451 18.417 0.842 0.092 0.029 0.013 7.1e-3
50.0 2.664 6.608 10.578 14.555 18.535 0.831 0.095 0.031 0.014 8.0e-3
75.0 2.678 6.631 10.609 14.592 18.578 0.827 0.096 0.031 0.0148.0e-3
1e2 2.684 6.643 10.625 14.611 18.600 0.825 0.096 0.032 0.015 8.0e-3
1e3 2.702 6.675 10.668 14.665 18.663 0.820 0.097 0.032 0.015 8.0e-3
1e4 2.704 6.679 10.673 14.670 18.669 0.819 0.0975 0.0325 0.0155 8.0e-3
1e10 2.704 6.679 10.673 14.671 18.670 0.819 0.0975 0.0325 0.0155 8.0e-3











